COUNTRY|CODE;REGION
Vietnam|VNM;REG1
Argentina|ARG;REG1
Australia|AUS;REG1
Brazil|BRA;REG1
Britain|GBR;REG1
Canada|CAN;REG1
Chile|CHL;REG1
China|CHN;REG1
Colombia|COL;REG1
Costa Rica|CRI;REG1
Czech Republic|CZE;REG1
Denmark|DNK;REG1
Egypt|EGY;REG1
Euro area|EUR;REG1
Hong Kong|HKG;REG1
Hungary|HUN;REG2
India|IND;REG2
Indonesia|IDN;REG2
Israel|ISR;REG2
Japan|JPN;REG2
Lithuania|LTU;REG2
Malaysia|MYS;REG2
Mexico|MEX;REG2
New Zealand|NZL;REG2
Norway|NOR;REG2
Pakistan|PAK;REG2
Peru|PER;REG2
Philippines|PHL;REG2
Poland|POL;REG2
Russia|RUS;REG2
Saudi Arabia|SAU;REG3
Singapore|SIN;REG3
South Africa|ZAF;REG3
South Korea|KOR;REG3
Sri Lanka|LKA;REG3
Sweden|SWE;REG3
Switzerland|CHE;REG3
Taiwan|ROC;REG3
Thailand|THA;REG3
Turkey|TUR;REG3
UAE|UAE;REG3
Ukraine|UKR;REG3
United States|USA;REG3
Uruguay|URY;REG3
Venezuela|VEN;REG3
Austria|AUT;REG4
Belgium|BEL;REG4
Estonia|EST;REG4
Finland|FIN;REG4
France|FRA;REG4
Germany|DEU;REG4
Greece|GRC;REG4
Ireland|IRL;REG4
Italy|ITA;REG4
Netherlands|NLD;REG4
Portugal|PRT;REG4
Spain|ESP;REG4
Latvia|LVA;REG4
